Citizenship,January,February,March,April,May,June,July,August,September,October,November,December,Grand Total
Singapore,3661 ,2692 ,3952 ,3061 ,2054 ,4093 ,2967 ,3442 ,4144 ,3090 ,4105 ,4916 ,42177 
Australia,2276 ,1184 ,1597 ,1519 ,1270 ,1633 ,1870 ,1282 ,1768 ,1386 ,1328 ,1820 ,18933 
New Zealand,449 ,290 ,469 ,408 ,442 ,446 ,505 ,456 ,392 ,430 ,384 ,443 ,5114 
Canada,718 ,680 ,961 ,807 ,661 ,613 ,708 ,657 ,646 ,740 ,635 ,676 ,8502 
United Kingdom,2144 ,2203 ,3323 ,2752 ,2983 ,2666 ,3900 ,3389 ,2524 ,2809 ,2159 ,2547 ,33399 
Hong Kong,83 ,66 ,71 ,53 ,80 ,102 ,82 ,96 ,84 ,413 ,242 ,5 ,1377 
Sri Lanka,106 ,85 ,61 ,98 ,67 ,67 ,131 ,164 ,111 ,125 ,127 ,95 ,1237 
Bangladesh,189 ,140 ,179 ,153 ,122 ,160 ,151 ,146 ,188 ,103 ,109 ,135 ,1775 
India,2535 ,2446 ,3055 ,2775 ,2843 ,2668 ,2632 ,2504 ,2406 ,2481 ,2358 ,2648 ,31351 
Brunei,153333 ,129752 ,196654 ,156521 ,147209 ,151890 ,132984 ,137238 ,155891 ,105501 ,111005 ,160805 ,1738783 
United States of America,764 ,604 ,1231 ,760 ,725 ,900 ,1201 ,664 ,675 ,943 ,734 ,771 ,9972 
China,3230 ,3786 ,3543 ,2910 ,2869 ,3076 ,3611 ,3358 ,3070 ,2895 ,3024 ,2832 ,38204 
Russia,123 ,134 ,164 ,150 ,140 ,72 ,121 ,124 ,116 ,130 ,111 ,108 ,1493 
Latin America,88 ,120 ,372 ,82 ,114 ,92 ,186 ,111 ,137 ,177 ,115 ,120 ,1714 
Arabs,197 ,197 ,330 ,235 ,195 ,206 ,443 ,288 ,284 ,255 ,187 ,294 ,3111 
Germany,372 ,510 ,779 ,727 ,550 ,477 ,797 ,1039 ,644 ,624 ,391 ,337 ,7247 
France,287 ,352 ,418 ,495 ,400 ,494 ,1003 ,1010 ,429 ,476 ,249 ,252 ,5865 
Europe,901 ,1044 ,1369 ,1057 ,802 ,930 ,1954 ,2705 ,983 ,953 ,866 ,990 ,14554 
Philippines,6226 ,6174 ,5716 ,5515 ,5870 ,6100 ,5921 ,5172 ,5780 ,5266 ,5090 ,5550 ,68380 
Thailand,1381 ,1227 ,1325 ,1274 ,1368 ,1284 ,1550 ,1406 ,1358 ,1474 ,1271 ,1050 ,15968 
Taiwan,1086 ,675 ,1106 ,690 ,834 ,814 ,1618 ,1222 ,853 ,1005 ,696 ,622 ,11221 
Indonesia,44381 ,41578 ,40618 ,40550 ,37439 ,53647 ,56382 ,45737 ,39349 ,39633 ,33904 ,40224 ,513442 
Pakistan,397 ,415 ,434 ,380 ,302 ,289 ,369 ,378 ,415 ,294 ,265 ,284 ,4222 
Japan,903 ,811 ,1105 ,834 ,829 ,838 ,976 ,1140 ,970 ,798 ,846 ,767 ,10817 
South Korea,1053 ,972 ,806 ,739 ,954 ,1015 ,1143 ,976 ,957 ,926 ,707 ,863 ,11111 
Total Foreigner,226883 ,198137 ,269638 ,224545 ,211122 ,234572 ,223205 ,214704 ,224174 ,172927 ,170908 ,229154 ,2599969 
Peninsular Malaysia,113794 ,96838 ,117815 ,106088 ,127027 ,104536 ,100902 ,71673 ,102634 ,107639 ,99736 ,115840 ,1264522 
Sabah,76772 ,71740 ,85071 ,75666 ,80421 ,86109 ,77298 ,84908 ,86955 ,78586 ,67764 ,81554 ,952844 
Malaysia,190566 ,168578 ,202886 ,181754 ,207448 ,190645 ,178200 ,156581 ,189589 ,186225 ,167500 ,197394 ,2217366 
Grand Total (Foreigner + Malaysia),417449 ,366715 ,472524 ,406299 ,418570 ,425217 ,401405 ,371285 ,413763 ,359152 ,338408 ,426548 ,4817335 
